CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,TotalRevenue,TotalProfit,ProfitMargin,AggregatorDependence,CostBurden,RevenueQuality,Raw_Scale_Signal,Expansion_Headroom,Cluster,GPI,GPI_Category,Cluster_Label,Recommendation
Burgers,26360,Urban Burgers Bistro,Cafe,North Shore,1.03,44.7,1528,361,16136.7,525,292,350,23467.5,13052.4,15645.0,0.26732464,0.437447388,0.33,12,3.54,1239.0,4764.01,-816.01,-453.86,3379.84,0.31,0.45,0.25,0.3,68302.0,6874.0,0.1006412696553541,0.7,0.704772028,4.498664753594332,1573.84,12.36,0,0.11509679169279077,Medium Potential,Growth Leaders,Expand
Burgers,26079,Top Burgers Eatery,Cafe,CBD,0.99,43.28,562,166,7184.48,178,99,119,7703.84,4284.72,5150.32,0.243581773,0.436767387,0.31,14,4.13,491.47,2296.53,74.35,41.35,1154.83,0.42,0.45,0.25,0.3,24323.0,3567.0,0.1466513176828516,0.7,0.68034916,6.347069029313818,556.38,13.86,1,-0.03789025035362109,Medium Potential,Stable Local Performers,Hold/Stabilize
Burgers,25111,Classic Burgers Kitchen,Ghost Kitchen,South Auckland,1.05,46.57,1487,122,5681.54,614,341,410,28593.98,15880.37,19093.7,0.297469939,0.321676252,0.29,13,3.84,1574.4,2163.84,2597.87,1442.79,5697.51,0.09,0.45,0.25,0.3,69250.0,11902.0,0.171870036101083,0.7,0.619146191,8.003987581227436,1561.35,13.65,0,0.7623788169512775,High Potential,Growth Leaders,Expand
Burgers,25595,Top Burgers Kitchen,QSR,West Auckland,1.04,37.61,1276,271,10192.31,452,251,302,16999.72,9440.11,11358.22,0.218210295,0.373063065,0.3,14,4.13,1247.26,4165.87,1848.32,1026.39,3395.15,0.27,0.45,0.25,0.3,47990.0,10436.0,0.2174619712440091,0.7,0.59127336,8.178744738487184,1327.04,14.56,0,0.8123340918886949,High Potential,Growth Leaders,Expand
Burgers,25881,Lucky Burgers Diner,QSR,CBD,0.99,36.87,1197,199,7337.13,449,250,299,16554.63,9217.5,11024.13,0.20185687,0.401524103,0.28,15,4.43,1324.57,2910.05,1930.58,1074.94,3047.81,0.2,0.45,0.25,0.3,44133.0,8963.0,0.2030906577844243,0.7,0.603380973,7.487952552511726,1185.03,14.85,0,0.20562886309336187,Medium Potential,Growth Leaders,Expand
Burgers,26244,Urban Burgers House,Cafe,West Auckland,1.04,34.3,1728,356,12210.8,617,343,412,21163.1,11764.9,14131.6,0.242821231,0.435210465,0.33,17,5.02,2068.24,3931.49,-169.98,-94.49,2481.69,0.26,0.45,0.25,0.3,59270.0,6149.0,0.1037455711152353,0.7,0.678031696,3.5584730892525727,1797.12,17.68,0,0.4621850196814902,High Potential,Growth Leaders,Expand
Burgers,26245,Classic Burgers Corner,Full-service,North Shore,1.03,35.96,697,226,8126.96,212,118,141,7623.52,4243.28,5070.36,0.369292362,0.529286201,0.29,6,1.77,249.57,824.25,-1437.63,-800.19,264.67,0.48,0.45,0.25,0.3,25064.0,-1149.0,-0.045842642834344,0.7,0.898578563,-1.648501436323013,717.91,6.18,2,-0.8905093830641819,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,26490,Classic Burgers Eatery,Full-service,West Auckland,1.04,41.27,1437,485,20015.95,428,238,286,17663.56,9822.26,11803.22,0.381961006,0.502269129,0.32,14,4.13,1181.18,2317.24,-3607.43,-2006.0,185.28,0.51,0.45,0.25,0.3,59305.0,-3111.0,-0.0524576342635528,0.7,0.8842301349999999,-2.1649265660568253,1494.48,14.56,2,-0.3779533552561417,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,25400,Top Burgers Corner,Ghost Kitchen,West Auckland,1.04,44.01,1458,95,4180.95,613,341,409,26978.13,15007.41,18000.09,0.287121943,0.263713604,0.29,14,4.13,1689.17,1877.93,4293.96,2388.65,6395.83,0.07,0.45,0.25,0.3,64167.0,14956.0,0.2330793086789159,0.7,0.5508355469999999,10.257820374959092,1516.3200000000002,14.56,0,0.9654032054975079,High Potential,Growth Leaders,Expand
Burgers,26532,King Burgers House,Full-service,North Shore,1.03,34.87,2227,722,25176.14,677,376,452,23606.99,13111.12,15761.24,0.383675678,0.470021477,0.31,8,2.36,1066.72,3683.34,-3864.4,-2146.25,1239.19,0.48,0.45,0.25,0.3,77655.0,-1088.0,-0.0140106883008177,0.7,0.8536971550000001,-0.4885527010495138,2293.81,8.24,2,-0.643779363195138,Low Potential,Aggregator-dependent Low Margin,Optimize
Burgers,25267,King Burgers Kitchen,Cafe,West Auckland,1.04,35.82,818,238,8525.16,261,145,174,9349.02,5193.9,6232.68,0.210430281,0.436889241,0.28,4,1.18,205.32,3006.66,679.49,377.5,1992.82,0.41,0.45,0.25,0.3,29301.0,6056.0,0.2066823657895635,0.7,0.647319522,7.403362342582165,850.72,4.16,1,0.19004672054042498,Medium Potential,Stable Local Performers,Hold/Stabilize
Burgers,25119,Classic Burgers Eatery,Cafe,CBD,0.99,33.49,1265,253,8472.97,455,253,304,15237.95,8472.97,10180.96,0.238450532,0.443626348,0.3,5,1.48,449.92,2693.75,273.11,151.86,2786.84,0.25,0.45,0.25,0.3,42365.0,5906.0,0.1394075298005429,0.7,0.68207688,4.668758173020183,1252.35,4.95,0,-0.6242471227189106,Low Potential,Growth Leaders,Expand
